Zip,Median Total,Median  Owner occupied,Median  Renter occupied
93706,34201.44,29388,16324
93710,51913.68,54814,21516
93711,88817.04000000001,79110,33921
93720,95035.2,72381,36463
93721,20805.72,30815,11474
93722,66119.04000000001,51118,25141
93725,46642.44,37090,21887
93726,44424.12,38530,19852
93727,52734.240000000005,48773,21534
93728,40076.4,33630,19182
93901,65952.12,61470,31728
93905,55579.68,50097,27198
93906,75586.68000000001,59449,37009
93907,93155.40000000001,67012,47383
93908,133514.16,89393,53214
93920,64643.28,51250,36827
93921,82353.96,63661,35560
93923,106560.48000000001,79364,48828
93924,109850.52,87514,35885
93925,73449.48,61250,36250
93926,65970.84,50663,33571
93927,58582.68,41232,30102
93928,53625.0,31875,35000
93930,62559.12,50345,26575
93932,75563.28,43750,49000
93933,66788.28,57127,35976
93940,78411.84,63587,42087
93950,78492.96,62196,41676
93953,150485.4,99719,82770
93954,47970.0,32917,27969
93955,64774.32,50107,36052
93960,70020.6,50388,30893
93962,90090.0,53214,59833
939HH,0.0,0,0
939XX,107900.52,87500,53750
94002,123464.64,97798,54199
94005,100137.96,80359,45346
94010,128960.52,116354,54755
94014,93160.08,71086,43245
94015,99801.0,74644,49591
94019,128483.16,91253,61803
94020,138147.36000000002,95417,61250
94021,68529.24,36250,47679
94022,226391.88,155963,75180
94024,200222.88,134210,94613
94025,137350.2,109977,62102
94027,312000.0,"200,000+",153391
94028,251663.88,180272,91172
94030,104201.76000000001,82178,49658
94037,144387.36000000002,99046,64219
94038,128105.64,84348,57679
94040,107537.04000000001,96819,56193
94041,104942.76000000001,82208,63403
94043,108490.2,87057,58962
